relation,id
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,0
http://www.w3.org/2000/01/rdf-schema#label,1
http://purl.org/dc/elements/1.1/date,2
https://www.imgt.org/imgt-ontology#hasDesignation,3
https://www.imgt.org/imgt-ontology#isDecidedBy,4
https://www.imgt.org/imgt-ontology#isDecisionOf,5
http://www.w3.org/2004/02/skos/core#definition,6
http://www.w3.org/2000/01/rdf-schema#domain,7
http://www.w3.org/2000/01/rdf-schema#range,8
https://www.imgt.org/imgt-ontology#hasClinicalIndication,9
https://www.imgt.org/imgt-ontology#isStudyProductOf,10
https://www.imgt.org/imgt-ontology#application_type,11
https://www.imgt.org/imgt-ontology#hasClinicalPhase,12
https://www.imgt.org/imgt-ontology#hasDecision,13
http://www.w3.org/2000/01/rdf-schema#subClassOf,14
http://xmlns.com/foaf/0.1/depiction,15
http://www.w3.org/2000/01/rdf-schema#comment,16
http://semanticscience.org/resource/SIO_000291,17
https://www.imgt.org/imgt-ontology#hasConstruct,18
https://www.imgt.org/imgt-ontology#hasProduct,19
https://www.imgt.org/imgt-ontology#hasSpecificityClass,20
https://www.imgt.org/imgt-ontology#imgt_link,21
http://www.w3.org/2002/07/owl#inverseOf,22
http://purl.obolibrary.org/obo/RO_0002162,23
https://www.imgt.org/imgt-ontology#pharmgkb_automatedAnnotation,24
https://www.imgt.org/imgt-ontology#pharmgkb_clinicalAnnotation,25
https://www.imgt.org/imgt-ontology#pharmgkb_download_link,26
https://www.imgt.org/imgt-ontology#pharmgkb_id,27
https://www.imgt.org/imgt-ontology#pharmgkb_id_link,28
https://www.imgt.org/imgt-ontology#pharmgkb_labelAnnotation,29
https://www.imgt.org/imgt-ontology#pharmgkb_literature,30
https://www.imgt.org/imgt-ontology#pharmgkb_pathway,31
https://www.imgt.org/imgt-ontology#pharmgkb_prescribingInfo,32
https://www.imgt.org/imgt-ontology#pharmgkb_related,33
https://www.imgt.org/imgt-ontology#pharmgkb_variantAnnotation,34
http://www.w3.org/2004/02/skos/core#altLabel,35
https://www.imgt.org/imgt-ontology#isTargetOf,36
https://www.imgt.org/imgt-ontology#hasClinicalDomain,37
https://www.imgt.org/imgt-ontology#isClinicalIndicationOf,38
https://www.imgt.org/imgt-ontology#hasImgtLabel,39
http://purl.obolibrary.org/obo/BFO_0000051,40
https://www.imgt.org/imgt-ontology#hasMolecularComponent,41
https://www.imgt.org/imgt-ontology#hasReceptorFormat,42
https://www.imgt.org/imgt-ontology#isConstructOf,43
https://www.imgt.org/imgt-ontology#hasStudyProduct,44
https://www.imgt.org/imgt-ontology#isProductOf,45
https://www.imgt.org/imgt-ontology#commun_name,46
https://www.imgt.org/imgt-ontology#isProducedBy,47
https://www.imgt.org/imgt-ontology#isSpecificityClassOf,48
https://www.imgt.org/imgt-ontology#development_technology,49
https://www.imgt.org/imgt-ontology#hasExpressionSystem,50
https://www.imgt.org/imgt-ontology#isExpressionSystemOf,51
https://www.imgt.org/imgt-ontology#hasStatut,52
https://www.imgt.org/imgt-ontology#comercial_name,53
https://www.imgt.org/imgt-ontology#inn_name,54
https://www.imgt.org/imgt-ontology#inn_number,55
https://www.imgt.org/imgt-ontology#inn_proposed_list,56
https://www.imgt.org/imgt-ontology#inn_recommended_list,57
https://www.imgt.org/imgt-ontology#isLinkedToStructureAccessNumb,58
https://www.imgt.org/imgt-ontology#therapeutic_sabdab_link,59
https://www.imgt.org/imgt-ontology#hasOriginClone,60
http://purl.obolibrary.org/obo/BFO_0000050,61
https://www.imgt.org/imgt-ontology#has_rank,62
https://www.imgt.org/imgt-ontology#segment_detail,63
https://www.imgt.org/imgt-ontology#describes,64
https://www.imgt.org/imgt-ontology#isDescribedBy,65
https://www.imgt.org/imgt-ontology#isDefinedBy,66
https://www.imgt.org/imgt-ontology#hasBibliographicReference,67
https://www.imgt.org/imgt-ontology#hasMechanism,68
https://www.wikidata.org/wiki/Property:P1542,69
http://purl.org/dc/elements/1.1/contributor,70
http://purl.org/dc/elements/1.1/title,71
https://www.imgt.org/imgt-ontology#isBibliographicReferenceOf,72
https://www.imgt.org/imgt-ontology#hasImgtStructure,73
https://www.imgt.org/imgt-ontology#construction_detail,74
https://www.imgt.org/imgt-ontology#isImgtStructureOf,75
https://www.imgt.org/imgt-ontology#clinical_trials,76
https://www.imgt.org/imgt-ontology#isConjugatedWith,77
https://www.imgt.org/imgt-ontology#has_label_code,78
https://www.imgt.org/imgt-ontology#produces,79
https://www.imgt.org/imgt-ontology#imgt_note,80
https://www.imgt.org/imgt-ontology#isOriginCloneOf,81
https://www.imgt.org/imgt-ontology#isFusedWith,82
https://www.imgt.org/imgt-ontology#via_a,83
http://www.bioassayontology.org/bao#BAO_0000196,84
http://purl.obolibrary.org/obo/RO_0000056,85
http://purl.obolibrary.org/obo/RO_0002461,86
https://www.imgt.org/imgt-ontology#conjugation_at,87
https://www.imgt.org/imgt-ontology#clone_name,88
https://www.imgt.org/imgt-ontology#hasChainTypeLevel,89
http://purl.org/dc/elements/1.1/identifier,90
https://www.imgt.org/imgt-ontology#defines,91
https://www.imgt.org/imgt-ontology#atc_link,92
https://www.imgt.org/imgt-ontology#centerwatch_link,93
https://www.imgt.org/imgt-ontology#hasBiosimilar,94
https://www.imgt.org/imgt-ontology#isRadiolabeledWith,95
http://protege.stanford.edu/plugins/owl/protege#subclassesDisjoint,96
http://www.w3.org/2002/07/owl#disjointWith,97
https://www.imgt.org/imgt-ontology#hasConfigurationType,98
https://www.imgt.org/imgt-ontology#hasMoleculeType,99
https://www.imgt.org/imgt-ontology#hasMoleculeUnit,100
http://www.w3.org/2002/07/owl#sameAs,101
http://www.w3.org/2004/02/skos/core#example,102
https://www.imgt.org/imgt-ontology#nci_drug_dictionary_link,103
https://www.imgt.org/imgt-ontology#isBiosimilarOf,104
https://www.imgt.org/imgt-ontology#kyowa_hakko_kirin_link,105
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,106
https://www.imgt.org/imgt-ontology#Taxonomy_ID,107
https://www.imgt.org/imgt-ontology#hasTaxonRank,108
http://www.w3.org/2002/07/owl#members,109
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,110
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,111
http://purl.org/dc/elements/1.1/creator,112
http://www.w3.org/2002/07/owl#imports,113
http://www.w3.org/2002/07/owl#versionInfo,114
